date,time,open,high,low,close,volume,number_of_trades
2021-04-27,10:45 AM,115.62,115.69,115.62,115.69,770,14
2021-04-27,10:46 AM,115.67,115.755,115.67,115.71,960,11
2021-04-27,10:47 AM,115.71,115.71,115.65,115.71,454,7
2021-04-27,10:48 AM,115.7,115.7,115.62,115.63,813,11
2021-04-27,10:49 AM,115.66,115.7,115.65,115.7,1626,22
2021-04-27,10:50 AM,115.69,115.69,115.55,115.595,1233,16
2021-04-27,10:51 AM,115.62,115.625,115.57,115.6,909,16
2021-04-27,10:52 AM,115.6,115.65,115.6,115.65,935,14
2021-04-27,10:53 AM,115.61,115.625,115.61,115.61,205,3
2021-04-27,10:54 AM,115.61,115.69,115.61,115.69,1686,22
2021-04-27,10:55 AM,115.72,115.815,115.71,115.77,2942,15
2021-04-27,10:56 AM,115.74,115.74,115.69,115.69,212,4
2021-04-27,10:57 AM,115.71,115.74,115.705,115.705,716,11
2021-04-27,10:58 AM,115.72,115.73,115.705,115.73,1406,11
2021-04-27,10:59 AM,115.71,115.73,115.71,115.73,1616,17
2021-04-27,11 AM,115.73,115.74,115.69,115.69,1717,18
2021-04-27,11:01 AM,115.67,115.715,115.67,115.715,693,9
2021-04-27,11:02 AM,115.725,115.725,115.7,115.725,304,8
2021-04-27,11:03 AM,115.72,115.73,115.715,115.73,504,7
2021-04-27,11:04 AM,115.72,115.73,115.705,115.73,415,10
2021-04-27,11:05 AM,115.7,115.82,115.7,115.81,627,14
2021-04-27,11:06 AM,115.79,115.8,115.67,115.67,736,12
2021-04-27,11:07 AM,115.68,115.73,115.68,115.73,609,10
2021-04-27,11:08 AM,115.74,115.74,115.7,115.7,4,3
2021-04-27,11:09 AM,115.705,115.705,115.63,115.63,522,8
2021-04-27,11:10 AM,115.61,115.67,115.59,115.66,2876,29
2021-04-27,11:11 AM,115.66,115.74,115.64,115.74,849,13
2021-04-27,11:12 AM,115.74,115.775,115.74,115.75,110,4
