date,time,open,high,low,close,volume,number_of_trades
2021-04-28,1:09 PM,112.79,112.85,112.78,112.83,401,5
2021-04-28,1:10 PM,112.79,112.86,112.79,112.82,293,5
2021-04-28,1:11 PM,112.85,112.86,112.85,112.86,400,3
2021-04-28,1:12 PM,112.81,112.835,112.81,112.835,160,3
2021-04-28,1:13 PM,112.86,112.86,112.815,112.815,203,3
2021-04-28,1:14 PM,112.85,112.85,112.82,112.83,60,3
2021-04-28,1:15 PM,112.82,112.87,112.82,112.87,570,11
2021-04-28,1:16 PM,112.88,112.88,112.85,112.85,339,7
2021-04-28,1:17 PM,112.81,112.82,112.79,112.82,430,7
2021-04-28,1:18 PM,112.76,112.765,112.7,112.72,499,13
2021-04-28,1:19 PM,,,,,0,0
2021-04-28,1:20 PM,112.67,112.76,112.67,112.76,250,3
2021-04-28,1:21 PM,112.76,112.76,112.66,112.66,401,4
2021-04-28,1:22 PM,112.67,112.7,112.67,112.7,32,2
2021-04-28,1:23 PM,112.69,112.71,112.67,112.71,829,12
2021-04-28,1:24 PM,112.7,112.7,112.69,112.69,281,6
2021-04-28,1:25 PM,112.7,112.72,112.7,112.72,23,4
2021-04-28,1:26 PM,112.7,112.7,112.7,112.7,174,4
2021-04-28,1:27 PM,112.72,112.72,112.72,112.72,100,1
2021-04-28,1:28 PM,112.72,112.82,112.72,112.82,459,6
2021-04-28,1:29 PM,112.86,113.08,112.86,113.08,941,12
2021-04-28,1:30 PM,113.04,113.04,112.83,112.83,353,10
2021-04-28,1:31 PM,112.83,112.835,112.8,112.81,507,7
2021-04-28,1:32 PM,112.755,112.78,112.73,112.78,586,10
2021-04-28,1:33 PM,112.74,112.74,112.69,112.73,956,14
2021-04-28,1:34 PM,112.73,112.73,112.68,112.695,124,5
2021-04-28,1:35 PM,112.72,112.77,112.72,112.76,311,6
2021-04-28,1:36 PM,112.78,112.78,112.72,112.72,364,5
2021-04-28,1:37 PM,112.72,112.74,112.69,112.69,331,10
2021-04-28,1:38 PM,112.7,112.77,112.69,112.75,409,10
2021-04-28,1:39 PM,112.77,112.77,112.75,112.75,101,2
